make,model,condition,grade,capacity,colour,network,count
Blackberry,"AZERTY 8520","Brand New","Insurance Grade","Not Applicable",Black,Unlocked,1
Blackberry,"AZERTY 8520","Working - Minor Issue","Grade A - Very Good Condition","Not Applicable","shimmery WHITE",Unlocked,1
Blackberry,"AZERTY 8520",Working,"Grade B - Good Condition","Not Applicable",Black,NOS-Portugal,1
Blackberry,"AZERTY 8520","Non-working - Need Battery","Insurance Grade","Not Applicable",Black,Unlocked,17
Blackberry,"AZERTY 8520",Working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,48
Blackberry,"AZERTY 8520","Working - Need Battery","Insurance Grade","Not Applicable",Black,Unlocked,8
Blackberry,"AZERTY 8520",Working,"Grade A - Very Good Condition","Not Applicable",Black,Unlocked,13
Blackberry,"AZERTY 8520","Working - Need Battery","Grade A - Very Good Condition","Not Applicable",Black,Unlocked,1
Blackberry,"AZERTY 8520","Brand New","Insurance Grade","Not Applicable",Black,Unlocked,4
Blackberry,"AZERTY 8520",Working,"Insurance Grade","Not Applicable",Black,Unlocked,1
Blackberry,"AZERTY 8520",Non-working,"Grade A - Very Good Condition","Not Applicable",Black,Unlocked,1
Blackberry,"AZERTY 8520",Working,"Grade C - Acceptable Condition","Not Applicable",Black,Unlocked,1
Blackberry,"AZERTY 8520","Power On Tested-Good LCD","Grade B - Good Condition","Not Applicable",Black,Unlocked,1
Blackberry,"AZERTY 8520",Working,"Grade B - Good Condition","Not Applicable",Black,Lyca,2
Blackberry,"AZERTY 8520",Working,"Grade B B2B","Not Applicable",Black,Unlocked,2
Blackberry,"AZERTY 8520","Working - Minor Issue","Grade A - Very Good Condition","Not Applicable",Black,Unlocked,1
Blackberry,"AZERTY 8520","Brand New","Insurance Grade","Not Applicable",Black,Unlocked,3
Blackberry,"AZERTY 8520",Working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,45
Blackberry,"AZERTY 8520",Working,"Grade A - Very Good Condition","Not Applicable",Black,Unlocked,31
Blackberry,"AZERTY 8520",Working,"Grade B B2B","Not Applicable",Black,Unlocked,1
Blackberry,"AZERTY 8520",BER,"Grade C - Acceptable Condition","Not Applicable",Black,Unlocked,1
Blackberry,"AZERTY 8520","Working - Need Battery","Insurance Grade","Not Applicable",Black,Unlocked,8
Blackberry,"AZERTY 8520","Working - Need Battery","Grade B - Good Condition","Not Applicable",Black,Unlocked,2
Blackberry,"AZERTY 8520","Working - Need Battery","Grade A - Very Good Condition","Not Applicable",Black,Unlocked,1
Blackberry,"AZERTY 8520","Power On Tested-Good LCD","Grade A - Very Good Condition","Not Applicable",Black,Unlocked,1
Blackberry,"AZERTY 8520","Power On Tested-Good LCD","Grade C - Acceptable Condition","Not Applicable",Black,Unlocked,1
Blackberry,"AZERTY 8520",Non-working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,1
Blackberry,"AZERTY 8520","Working - Need Battery","Grade A - Very Good Condition","Not Applicable",White,Unlocked,2
Blackberry,"AZERTY 8520","Working - Need Battery","Grade B - Good Condition","Not Applicable",White,Unlocked,1
Blackberry,"AZERTY 8520","Working - Need Battery","Insurance Grade","Not Applicable",White,Unlocked,1
Blackberry,"AZERTY 8520","Non-working - Need Battery","Grade C - Acceptable Condition","Not Applicable",White,Unlocked,1
Blackberry,"AZERTY 8520","Working - Need Battery","Insurance Grade","Not Applicable",White,Unlocked,5
Blackberry,"AZERTY 8520","Working - Need Battery","Grade A - Very Good Condition","Not Applicable",White,Unlocked,4
Blackberry,"AZERTY 8520","Working - Need Battery","Grade B - Good Condition","Not Applicable",White,Unlocked,4
Blackberry,"AZERTY 8520","Non-working - Need Battery","Grade B - Good Condition","Not Applicable",White,Unlocked,1
Blackberry,"AZERTY 8520",Working,"Grade A - Very Good Condition","Not Applicable",White,Unlocked,1
Blackberry,"AZERTY 8520",Non-working,"Insurance Grade","Not Applicable",White,Unlocked,1
Blackberry,"AZERTY 8520","Brand New","Insurance Grade","Not Applicable",Black,Unlocked,1
Blackberry,"AZERTY 8520",Working,"Grade A - Very Good Condition","Not Applicable",Black,Unlocked,13
Blackberry,"AZERTY 8520",Working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,16
Blackberry,"AZERTY 8520","Power On Tested-Broken LCD",Unknown,"Not Applicable",Black,Unlocked,1
Blackberry,"AZERTY 8520",Working,"Grade B B2B","Not Applicable",Black,Unlocked,1
Blackberry,"AZERTY 8900","Brand New","Insurance Grade","Not Applicable",Black,Unlocked,37
Blackberry,"AZERTY 8900",Working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,3
Blackberry,"AZERTY 8900",Working,"Grade A - Very Good Condition","Not Applicable",Black,Unlocked,10
Blackberry,"AZERTY 8900","Non-working - DeBrand","Insurance Grade","Not Applicable",Black,Unlocked,1
Blackberry,"AZERTY 8900",Working,"Grade A - Very Good Condition","Not Applicable",Black,Vodafone,1
Blackberry,"AZERTY 8900","Brand New","Insurance Grade","Not Applicable",Black,Unlocked,65
Blackberry,"AZERTY 8900",Working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,5
Blackberry,"AZERTY 8900","Working - Minor Issue","Grade C - Acceptable Condition","Not Applicable",Black,Unlocked,2
Blackberry,"AZERTY 8900",Working,"Grade A - Very Good Condition","Not Applicable",Black,Unlocked,14
Blackberry,"AZERTY 8900",Working,"Not Graded","Not Applicable",Black,Unlocked,1
Blackberry,"AZERTY 8900",Non-working,"Grade A - Very Good Condition","Not Applicable",Black,Unlocked,3
Blackberry,"AZERTY 8900","Power On Tested-Good LCD","Grade A - Very Good Condition","Not Applicable",Black,Unlocked,3
Blackberry,"AZERTY 8900","Non-working - Need Repair - Software","Grade A - Very Good Condition","Not Applicable",Black,Unlocked,1
Blackberry,"AZERTY 8900","Power On Tested-Good LCD","Grade B - Good Condition","Not Applicable",Black,Unlocked,1
Blackberry,"AZERTY 8900",Non-working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,1
Blackberry,"AZERTY 8900",Working,"Grade B B2B","Not Applicable",Black,Unlocked,1
Blackberry,"AZERTY 8900",BER,"Grade C - Acceptable Condition","Not Applicable",Black,Unlocked,1
Blackberry,"AZERTY 8900","Non-working - Need Repair - Software","Grade B - Good Condition","Not Applicable",Black,Unlocked,1
Blackberry,"AZERTY 8900",BER,"Grade A - Very Good Condition","Not Applicable",Black,Unlocked,1
Blackberry,"AZERTY 8900",Working,"Grade A - Very Good Condition","Not Applicable",Black,Unlocked,18
Blackberry,"AZERTY 8900",Working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,9
Blackberry,"AZERTY 8900",BER,"Grade C - Acceptable Condition","Not Applicable",Black,Unlocked,1
Blackberry,"AZERTY 8900","Brand New","Insurance Grade","Not Applicable",Black,Unlocked,35
Blackberry,"AZERTY 8900",BER-Scrap,"Grade A - Very Good Condition","Not Applicable",Black,Unlocked,1
Blackberry,"AZERTY 8900",BER,"Grade D","Not Applicable",Black,Unlocked,1
Blackberry,"AZERTY 8900","Working - Minor Issue","Grade A - Very Good Condition","Not Applicable",Black,Unlocked,1
Blackberry,"AZERTY 8900",Working,"Insurance Grade","Not Applicable",Black,Unlocked,1
Blackberry,"AZERTY 8900","Power On Tested-Good LCD",Unknown,"Not Applicable",Black,Unlocked,1
Blackberry,"AZERTY 8900","Power On Tested-Good LCD","Grade A - Very Good Condition","Not Applicable",Black,Unlocked,1
Blackberry,"Bold 9000","Brand New","Insurance Grade","Not Applicable",Black,Unknown,1
Blackberry,"Bold 9000",Working,"Grade A - Very Good Condition","Not Applicable",Black,Unlocked,3
Blackberry,"BOLD 9000 - AZERTY","Working - Need Battery","Grade A - Very Good Condition","Not Applicable",Black,Unlocked,13
Blackberry,"BOLD 9000 - AZERTY",Working,"Grade A - Very Good Condition","Not Applicable",Black,Unlocked,6
Blackberry,"BOLD 9000 - AZERTY",Working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,2
Blackberry,"BOLD 9000 - AZERTY","Working - Minor Issue","Grade A - Very Good Condition","Not Applicable",Black,Unlocked,1
Blackberry,"BOLD 9000 - AZERTY","Working - Need Battery","Grade B - Good Condition","Not Applicable",Black,Unlocked,4
Blackberry,"BOLD 9000 - AZERTY","Blacklisted Disposal","Grade A - Very Good Condition","Not Applicable",Black,Unlocked,1
Blackberry,"BOLD 9000 - AZERTY","Working - Need Battery","Grade A - Very Good Condition","Not Applicable",Black,Unlocked,10
Blackberry,"BOLD 9000 - AZERTY","Working - Need Battery","Insurance Grade","Not Applicable",Black,Unlocked,1
Blackberry,"BOLD 9000 - AZERTY","Working - Need Battery","Grade B - Good Condition","Not Applicable",Black,Unlocked,1
Blackberry,"BOLD 9000 - AZERTY","Power On Tested-Good LCD","Grade C - Acceptable Condition","Not Applicable",Black,Unlocked,2
Blackberry,"BOLD 9000 - AZERTY",Working,"Grade A - Very Good Condition","Not Applicable",Black,Unlocked,6
Blackberry,"BOLD 9000 - AZERTY",BER,"Grade C - Acceptable Condition","Not Applicable",Black,Unlocked,2
Blackberry,"BOLD 9000 - AZERTY",BER,"Grade A - Very Good Condition","Not Applicable",Black,Unlocked,1
Blackberry,"BOLD 9000 - AZERTY","Working - Minor Issue","Grade A - Very Good Condition","Not Applicable",Black,Unlocked,4
Blackberry,"BOLD 9000 - AZERTY","Non-working - Need Repair - Software","Grade A - Very Good Condition","Not Applicable",Black,Unlocked,1
Blackberry,"BOLD 9000 - AZERTY","Brand New","Insurance Grade","Not Applicable",Black,Unlocked,14
Blackberry,"BOLD 9000 - AZERTY",Working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,1
Blackberry,"BOLD 9000 - QWERTY ",Working,"Grade A - Very Good Condition","Not Applicable",Black,Unlocked,3
Blackberry,"BOLD 9000 - QWERTY ",Non-working,"Insurance Grade","Not Applicable",Black,Unlocked,1
Blackberry,"BOLD 9000 - QWERTY ",Non-working,"Grade A - Very Good Condition","Not Applicable",Black,Unlocked,1
Blackberry,"BOLD 9000 - QWERTY ",Non-working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,1
Blackberry,"BOLD 9000 - QWERTY ","Non-working - Need Battery Cover And Battery","Grade A - Very Good Condition","Not Applicable",Black,Unlocked,1
Blackberry,"BOLD 9000 - QWERTY ","Working - Need Battery","Grade A - Very Good Condition","Not Applicable",Black,Unlocked,10
Blackberry,"BOLD 9000 - QWERTY ","Power On Tested-Good LCD","Grade A - Very Good Condition","Not Applicable",Black,Unlocked,1
Blackberry,"BOLD 9000 - QWERTY ",Non-working,"Grade C - Acceptable Condition","Not Applicable",Black,Unlocked,1
Blackberry,"Bold 9700","Brand New","Brand New","Not Applicable",Black,Unlocked,36
Blackberry,"Bold 9700",Working,"Not Graded","Not Applicable",Black,Unlocked,1
Blackberry,"Bold 9700",Working,"Grade A - Very Good Condition","Not Applicable",Black,Unlocked,1
Blackberry,"Bold 9700","Brand New","Brand New","Not Applicable",Black,Unlocked,65
Blackberry,"Bold 9700","Brand New","Brand New","Not Applicable",White,Unlocked,30
Blackberry,"Bold 9700",Working,"Grade A - Very Good Condition","Not Applicable",White,Unlocked,1
Blackberry,"Bold 9700",BER-Scrap,"Grade C - Acceptable Condition","Not Applicable",Black,Unlocked,1
Blackberry,"Bold 9700","Power On Tested-Good LCD","Grade A - Very Good Condition","Not Applicable",Black,Unlocked,1
Blackberry,"Bold 9700",Working,"Grade A - Very Good Condition","Not Applicable",Black,Unlocked,1
Blackberry,"Bold 9700","Brand New","Insurance Grade","Not Applicable",Black,Unlocked,1
Blackberry,"Bold 9700","Brand New","Brand New","Not Applicable",Black,Unlocked,26
Blackberry,"Bold 9700","Power On Tested-Good LCD","Grade C - Acceptable Condition","Not Applicable",Black,Unlocked,1
Blackberry,"Bold 9700","Blacklisted Disposal","Grade C - Acceptable Condition","Not Applicable",White,Unlocked,1
Blackberry,"Bold 9700",Working,"Grade B - Good Condition","Not Applicable",White,Unlocked,1
Blackberry,"Bold 9700",BER,"Grade A - Very Good Condition","Not Applicable",Black,Unlocked,1
Blackberry,"Bold 9700",Working,"Grade A - Very Good Condition","Not Applicable",Black,Unlocked,4
Blackberry,"Bold 9700",Working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,1
Blackberry,"Bold 9700",BER-Scrap,"Grade D","Not Applicable",Black,Damaged,1
Blackberry,"Bold 9700",Working,"Grade C - Acceptable Condition","Not Applicable",Black,Unlocked,2
Blackberry,"BOLD 9700 - AZERTY",Working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,11
Blackberry,"BOLD 9700 - AZERTY",Working,"Grade A - Very Good Condition","Not Applicable",Black,Unlocked,13
Blackberry,"BOLD 9700 - AZERTY","Working – Major Screen Burn","Grade C - Acceptable Condition","Not Applicable",Black,Unlocked,3
Blackberry,"BOLD 9700 - AZERTY","Working - Minor Issue","Grade B - Good Condition","Not Applicable",Black,Unlocked,1
Blackberry,"BOLD 9700 - AZERTY","Working - Minor Issue","Grade C - Acceptable Condition","Not Applicable",Black,Unlocked,1
Blackberry,"BOLD 9700 - AZERTY","Power On Tested-Good LCD","Grade D","Not Applicable",Black,Unlocked,1
Blackberry,"BOLD 9700 - AZERTY",Non-working,"Grade A - Very Good Condition","Not Applicable",Black,Unlocked,1
Blackberry,"BOLD 9700 QWERTY",Working,"Grade C - Acceptable Condition","Not Applicable",Black,Unlocked,1
Blackberry,"BOLD 9700 QWERTY",Blacklisted,"Grade A - Very Good Condition","Not Applicable",Black,Unlocked,1
Blackberry,"BOLD 9700 QWERTY","Power On Tested-Good LCD","Grade A - Very Good Condition","Not Applicable",Black,Unlocked,1
Blackberry,"BOLD 9700 QWERTY","Brand New","Insurance Grade","Not Applicable",Black,Unlocked,3
Blackberry,"BOLD 9700 QWERTY","Non-working - Need Repair - Software","Grade A - Very Good Condition","Not Applicable",Black,Unlocked,1
Blackberry,"BOLD 9700 QWERTY","Blacklisted Disposal","Grade A - Very Good Condition","Not Applicable",White,Unlocked,1
Blackberry,"BOLD 9700 QWERTY",Working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,8
Blackberry,"BOLD 9700 QWERTY","Working - Minor Issue","Grade B - Good Condition","Not Applicable",Black,Unlocked,2
Blackberry,"BOLD 9700 QWERTY","Working - Minor Issue","Grade C - Acceptable Condition","Not Applicable",Black,Unlocked,1
Blackberry,"BOLD 9700 QWERTY",Working,"Grade A - Very Good Condition","Not Applicable",Black,Unlocked,9
Blackberry,"BOLD 9700 QWERTY","Power On Tested-Good LCD","Grade B - Good Condition","Not Applicable",Black,Unlocked,1
Blackberry,"BOLD 9700 QWERTY","Working – Major Screen Burn","Grade C - Acceptable Condition","Not Applicable",Black,Unlocked,2
Blackberry,"BOLD 9700 QWERTY",Working,"Grade A - Very Good Condition","Not Applicable",Black,Unlocked,9
Blackberry,"BOLD 9700 QWERTY","Brand New","Insurance Grade","Not Applicable",Black,Unlocked,2
Blackberry,"BOLD 9700 QWERTY",Working,"Grade C - Acceptable Condition","Not Applicable",Black,Unlocked,2
Blackberry,"BOLD 9700 QWERTY",Working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,1
Blackberry,"BOLD 9700 QWERTY",Non-working,Unknown,"Not Applicable",Black,Unlocked,1
Blackberry,"BOLD 9700 QWERTY","Working – Minor Screen Burn","Grade C - Acceptable Condition","Not Applicable",Black,Unlocked,1
Blackberry,"Bold 9780","Brand New","Brand New","Not Applicable",Black,Unlocked,4
Blackberry,"Bold 9780","Brand New","Insurance Grade","Not Applicable",Black,Unlocked,1
Blackberry,"Bold 9780","Brand New","Brand New","Not Applicable",White,Unlocked,2
Blackberry,"Bold 9780",Working,"Grade C - Acceptable Condition","Not Applicable",Black,Unlocked,2
Blackberry,"bold 9790",Working,"Grade C - Acceptable Condition","Not Applicable",Black,Unlocked,1
Blackberry,"bold 9790","Brand New","Brand New","Not Applicable",Black,Unlocked,1
Blackberry,"BOLD 9790 - AZERTY",Working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,13
Blackberry,"BOLD 9790 - AZERTY",Working,"Grade A - Very Good Condition","Not Applicable",Black,Unlocked,15
Blackberry,"BOLD 9790 - AZERTY","Brand New","Insurance Grade","Not Applicable",Black,Unlocked,11
Blackberry,"BOLD 9790 - AZERTY",Working,"Grade B - Good Condition",8GB,Black,Unlocked,1
Blackberry,"BOLD 9790 - AZERTY",Working,"Grade C - Acceptable Condition",8GB,Black,Unlocked,2
Blackberry,"BOLD 9790 - AZERTY",Working,"Grade C - Acceptable Condition","Not Applicable",Black,Unlocked,3
Blackberry,"BOLD 9790 - AZERTY","Non-working - Need Battery Cover And Battery","Grade C - Acceptable Condition","Not Applicable",Black,Unlocked,1
Blackberry,"BOLD 9790 - AZERTY","Working - Need Battery","Insurance Grade","Not Applicable",Black,Unlocked,1
Blackberry,"BOLD 9790 - AZERTY","Working - Need Battery","Grade A - Very Good Condition","Not Applicable",Black,Unlocked,5
Blackberry,"BOLD 9790 - AZERTY","Non-working - Unlock","Grade A - Very Good Condition","Not Applicable",Black,Unlocked,1
Blackberry,"BOLD 9790 - AZERTY",Working,"Grade B B2B","Not Applicable",Black,Unlocked,5
Blackberry,"BOLD 9790 - AZERTY","Power On Tested-Good LCD","Grade B - Good Condition","Not Applicable",Black,Unlocked,1
Blackberry,"BOLD 9790 - AZERTY","Power On Tested-Broken LCD","Grade C - Acceptable Condition","Not Applicable",Black,Unlocked,1
Blackberry,"BOLD 9790 - AZERTY","Brand New","Brand New","Not Applicable",Black,Unlocked,10
Blackberry,"BOLD 9790 - AZERTY",Non-working,"Grade A - Very Good Condition","Not Applicable",Black,Unlocked,1
Blackberry,"BOLD 9790 - AZERTY","Non-working - Need Battery","Insurance Grade","Not Applicable",Black,Unlocked,1
Blackberry,"BOLD 9790 - AZERTY",Non-working,Unknown,"Not Applicable",Black,Unlocked,1
Blackberry,"BOLD 9790 - AZERTY","Non-working - Need Battery","Insurance Grade","Not Applicable",Black,Unlocked,3
Blackberry,"BOLD 9790 - AZERTY",Working,"Grade A - Very Good Condition","Not Applicable",Black,Unlocked,13
Blackberry,"BOLD 9790 - AZERTY","Non-working - Need Battery","Grade A - Very Good Condition","Not Applicable",Black,Unlocked,1
Blackberry,"BOLD 9790 - AZERTY",Working,"Insurance Grade","Not Applicable",Black,Unlocked,1
Blackberry,"BOLD 9790 - AZERTY","Brand New","Insurance Grade","Not Applicable",Black,Unlocked,5
Blackberry,"BOLD 9790 - AZERTY",Non-working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,1
Blackberry,"BOLD 9790 - AZERTY",Working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,2
Blackberry,"BOLD 9790 - AZERTY",Non-working,"Grade A - Very Good Condition","Not Applicable",Black,Unlocked,1
Blackberry,"BOLD 9790 - QWERTY",Working,"Grade C - Acceptable Condition",8GB,Black,Unlocked,1
Blackberry,"BOLD 9790 - QWERTY","Non-working - Need Battery Cover And Battery","Grade D",8GB,Black,NOS-Portugal,1
Blackberry,"BOLD 9790 - QWERTY","Non-working - Need Battery Cover And Battery","Grade D",8GB,Black,Unlocked,1
Blackberry,"BOLD 9790 - QWERTY","Working - Need Battery","Grade A - Very Good Condition","Not Applicable",Black,Unlocked,3
Blackberry,"BOLD 9790 - QWERTY","Working - Need Battery","Not Graded","Not Applicable",Black,Unlocked,8
Blackberry,"BOLD 9790 - QWERTY",Working,"Grade A - Very Good Condition","Not Applicable",Black,Unlocked,2
Blackberry,"BOLD 9790 - QWERTY","Non-working - Need Battery","Grade B - Good Condition","Not Applicable",Black,Unlocked,2
Blackberry,"BOLD 9790 - QWERTY","Working - Need Battery","Grade B - Good Condition","Not Applicable",Black,Unlocked,1
Blackberry,"BOLD 9790 - QWERTY",Non-working,"Insurance Grade","Not Applicable",Black,Unlocked,1
Blackberry,"BOLD 9790 - QWERTY",Working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,1
Blackberry,"BOLD 9790 - QWERTY","Brand New","Brand New","Not Applicable",White,Unlocked,24
Blackberry,"BOLD 9790 - QWERTY","Brand New","Brand New","Not Applicable",Black,Unlocked,28
Blackberry,"BOLD 9790 - QWERTY","Brand New","Brand New","Not Applicable",White,Unlocked,39
Blackberry,"BOLD 9790 - QWERTY","Brand New","Brand New","Not Applicable",Black,Unlocked,56
Blackberry,"BOLD 9790 - QWERTY","Brand New","Brand New","Not Applicable",Pink,Unlocked,5
Blackberry,"BOLD 9790 - QWERTY","Brand New","Brand New","Not Applicable",Black,Unlocked,41
Blackberry,"BOLD 9790 - QWERTY","Brand New","Brand New","Not Applicable",White,Unlocked,59
Blackberry,"BOLD 9790 - QWERTY","Brand New","Brand New","Not Applicable",White,Unlocked,41
Blackberry,"BOLD 9790 - QWERTY","Brand New","Brand New","Not Applicable",Black,Unlocked,42
Blackberry,"BOLD 9790 - QWERTY","Brand New","Brand New","Not Applicable",Pink,Unlocked,11
Blackberry,"BOLD 9790 - QWERTY",Working,"Grade A - Very Good Condition","Not Applicable",Pink,Unlocked,3
Blackberry,"BOLD 9790 - QWERTY",Working,"Insurance Grade","Not Applicable",Pink,Unlocked,2
Blackberry,"BOLD 9790 - QWERTY","Non-working - Need Repair - HardWare","Insurance Grade","Not Applicable",Pink,Unlocked,1
Blackberry,"BOLD 9790 - QWERTY","Brand New","Brand New","Not Applicable",Black,Unlocked,70
Blackberry,"BOLD 9790 - QWERTY","Brand New","Brand New","Not Applicable",White,Unlocked,30
Blackberry,"BOLD 9790 - QWERTY","Brand New","Brand New","Not Applicable",Black,Unlocked,45
Blackberry,"BOLD 9790 - QWERTY","Brand New","Brand New","Not Applicable",White,Unlocked,54
Blackberry,"BOLD 9790 - QWERTY",Working,"Grade A - Very Good Condition","Not Applicable",Black,Unlocked,1
Blackberry,"BOLD 9790 - QWERTY","Non-working - Need Battery","Insurance Grade","Not Applicable",Black,Unlocked,2
Blackberry,"BOLD 9790 - QWERTY","Non-working - Need Battery","Grade A - Very Good Condition","Not Applicable",Black,Unlocked,3
Blackberry,"BOLD 9790 - QWERTY","Brand New","Insurance Grade","Not Applicable",Black,Unlocked,6
Blackberry,"BOLD 9790 - QWERTY",Working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,3
Blackberry,"BOLD 9790 - QWERTY","Non-working - Need Battery Cover And Battery","Grade C - Acceptable Condition","Not Applicable",Black,Unlocked,1
Blackberry,"BOLD 9790 - QWERTY","Non-working - Need Battery","Grade C - Acceptable Condition","Not Applicable",Black,NOS-Portugal,1
Blackberry,"BOLD 9790 - QWERTY",Working,"Grade C - Acceptable Condition","Not Applicable",Black,Vodafone,1
Blackberry,"BOLD 9790 - QWERTY",Working,"Grade C - Acceptable Condition","Not Applicable",Black,Unlocked,1
Blackberry,"BOLD 9790 - QWERTY",Working,"Grade D",6GB,Black,Unlocked,1
Blackberry,"BOLD 9790 - QWERTY",Working,"Grade D","Not Applicable",Black,Unlocked,2
Blackberry,"BOLD 9790 - QWERTY",Working,"Grade A - Very Good Condition",8GB,Black,"EE Network",1
Blackberry,"BOLD 9790 - QWERTY",Working,"Grade C - Acceptable Condition",8GB,Black,"EE Network",17
Blackberry,"BOLD 9790 - QWERTY",Working,"Grade B - Good Condition",8GB,Black,"EE Network",5
Blackberry,"BOLD 9790 - QWERTY",Working,"Grade D",8GB,Black,"EE Network",3
Blackberry,"BOLD 9790 - QWERTZ","Brand New","Brand New","Not Applicable",Black,Unlocked,24
Blackberry,"BOLD TOUCH 9900 - AZERTY",Working,"Grade A - Very Good Condition",8GB,Black,Unlocked,1
Blackberry,"BOLD TOUCH 9900 - AZERTY",Working,"Insurance Grade",8GB,Black,Unlocked,1
Blackberry,"BOLD TOUCH 9900 - AZERTY","Brand New","Insurance Grade","Not Applicable",Black,Unlocked,7
Blackberry,"BOLD TOUCH 9900 - AZERTY","Brand New","Insurance Grade",8GB,Black,Unlocked,2
Blackberry,"BOLD TOUCH 9900 - AZERTY","Power On Tested-Good LCD","Grade A - Very Good Condition",8GB,Black,Unlocked,1
Blackberry,"BOLD TOUCH 9900 - AZERTY",Working,"Grade B - Good Condition",8GB,Black,Unlocked,1
Blackberry,"BOLD TOUCH 9900 - AZERTY","Working - Need Battery","Grade B - Good Condition",8GB,Black,Unlocked,1
Blackberry,"BOLD TOUCH 9900 - AZERTY","Non-working - Need Battery","Insurance Grade","Not Applicable",Black,Unlocked,1
Blackberry,"BOLD TOUCH 9900 - AZERTY",Working,"Grade A - Very Good Condition","Not Applicable",Black,Unlocked,4
Blackberry,"BOLD TOUCH 9900 - AZERTY",Working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,1
Blackberry,"BOLD TOUCH 9900 - AZERTY","Working - Need Battery","Grade B - Good Condition","Not Applicable",Black,Unlocked,2
Blackberry,"BOLD TOUCH 9900 - AZERTY","Brand New","Brand New","Not Applicable",Black,Unlocked,7
Blackberry,"BOLD TOUCH 9900 - AZERTY","Brand New","Brand New","Not Applicable",Black,Unlocked,13
Blackberry,"BOLD TOUCH 9900 - AZERTY","Power On Tested-Good LCD","Grade A - Very Good Condition","Not Applicable",White,Unlocked,1
Blackberry,"BOLD TOUCH 9900 - AZERTY",Working,"Insurance Grade","Not Applicable",White,Unlocked,1
Blackberry,"BOLD TOUCH 9900 - AZERTY","Brand New","Brand New","Not Applicable",White,Unlocked,15
Blackberry,"BOLD TOUCH 9900 - AZERTY","Brand New","Insurance Grade","Not Applicable",Black,Unlocked,5
Blackberry,"BOLD TOUCH 9900 - AZERTY","Non-working - Need Battery","Insurance Grade","Not Applicable",Black,Unlocked,49
Blackberry,"BOLD TOUCH 9900 - AZERTY","Non-working - Need Battery","Not Graded","Not Applicable",Black,Unlocked,3
Blackberry,"BOLD TOUCH 9900 - AZERTY",Working,"Insurance Grade","Not Applicable",Black,Unlocked,1
Blackberry,"BOLD TOUCH 9900 - AZERTY",Non-working,Unknown,"Not Applicable",Black,Damaged,2
Blackberry,"BOLD TOUCH 9900 - AZERTY",Working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,2
Blackberry,"BOLD TOUCH 9900 - AZERTY",BER-Scrap,"Grade D","Not Applicable",Black,Damaged,1
Blackberry,"BOLD TOUCH 9900 - QWERTZ","Brand New","Brand New","Not Applicable",Black,Unlocked,6
Blackberry,"BOLD TOUCH 9900 - QWERTZ",Non-working,"Insurance Grade","Not Applicable",Black,Unlocked,1
Blackberry,"BOLD TOUCH 9900 - QWERTZ","Brand New","Brand New","Not Applicable",Black,Unlocked,12
Blackberry,"BOLD TOUCH 9900 - QWERTZ","Brand New","Brand New","Not Applicable",White,Unlocked,29
Blackberry,"BOLD TOUCH 9900 - QWERTZ",Working,"Grade B B2B","Not Applicable",White,Unlocked,1
Blackberry,"BOLD TOUCH 9900 - QWERTZ",Working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,1
Blackberry,"BOLD TOUCH 9900 - QWERTZ",Working,"Grade A - Very Good Condition","Not Applicable",White,Unlocked,1
Blackberry,"BOLD TOUCH 9900 - QWERTZ","Power On Tested-Good LCD","Grade A - Very Good Condition","Not Applicable",Black,Unlocked,1
Blackberry,"BOLD TOUCH 9900 - QWERTZ","Working - Minor Issue","Grade C - Acceptable Condition","Not Applicable",White,Unlocked,1
Blackberry,CLASSIC,"Brand New","Insurance Grade",16GB,Black,Unlocked,4
Blackberry,CLASSIC,Non-working,Unknown,16GB,Black,Vodafone,1
Blackberry,CLASSIC,Working,"Grade A - Very Good Condition",16GB,Black,Unlocked,2
Blackberry,"CLASSIC AZERTY",Working,"Grade A - Very Good Condition",16GB,Black,Unlocked,2
Blackberry,"CLASSIC AZERTY","Brand New","Insurance Grade",16GB,Black,Unlocked,1
Blackberry,"Classic Q20",Non-working,Unknown,"Not Applicable",Black,Unknown,1
Blackberry,"Classic Q20",Working,"Grade B - Good Condition",16GB,Black,Unlocked,1
